Animal,Symptom 1,Symptom 2,Symptom 3,Disease
buffalo,painless lumps,depression,loss of appetite,lumpy virus
sheep,difficulty walking,depression,loss of appetite,blackleg
cow,fatigue,shortness of breath,swelling in neck,anthrax
cow,loss of appetite,difficulty walking,swelling in limb,blackleg
buffalo,sweats,fatigue,swelling in abdomen,anthrax
cow,depression,loss of appetite,painless lumps,pneumonia
buffalo,depression,loss of appetite,painless lumps,lumpy virus
cow,fatigue,swelling in extremities,chills,anthrax
cow,crackling sound,lameness,swelling in limb,blackleg
sheep,loss of appetite,crackling sound,lameness,blackleg
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,loss of appetite,painless lumps,depression,pneumonia
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,depression,painless lumps,pneumonia
goat,sores on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,sores on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,difficulty walking,loss of appetite,sores on tongue,foot and mouth
goat,lameness,blisters on hooves,loss of appetite,foot and mouth
cow,shortness of breath,swelling in neck,chest discomfort,anthrax
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,difficulty walking,loss of appetite,crackling sound,blackleg
sheep,depression,loss of appetite,painless lumps,lumpy virus
cow,lameness,sores on mouth,loss of appetite,foot and mouth
sheep,depression,loss of appetite,painless lumps,lumpy virus
buffalo,sores on hooves,loss of appetite,lameness,foot and mouth
buffalo,loss of appetite,depression,painless lumps,lumpy virus
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,difficulty walking,sores on hooves,foot and mouth
goat,fatigue,chest discomfort,shortness of breath,anthrax
sheep,depression,painless lumps,loss of appetite,pneumonia
cow,chest discomfort,fatigue,sweats,anthrax
goat,loss of appetite,crackling sound,depression,blackleg
buffalo,shortness of breath,chest discomfort,sweats,anthrax
cow,loss of appetite,depression,painless lumps,lumpy virus
cow,painless lumps,loss of appetite,depression,pneumonia
cow,lameness,loss of appetite,blisters on hooves,foot and mouth
sheep,lameness,depression,loss of appetite,blackleg
cow,loss of appetite,lameness,crackling sound,blackleg
buffalo,chills,shortness of breath,chest discomfort,anthrax
buffalo,sores on hooves,lameness,loss of appetite,foot and mouth
sheep,lameness,loss of appetite,blisters on mouth,foot and mouth
cow,swelling in abdomen,chest discomfort,chills,anthrax
sheep,painless lumps,depression,loss of appetite,lumpy virus
goat,loss of appetite,painless lumps,depression,lumpy virus
sheep,chest discomfort,swelling in neck,chills,anthrax
sheep,chills,sweats,fatigue,anthrax
buffalo,loss of appetite,painless lumps,depression,pneumonia
buffalo,crackling sound,difficulty walking,swelling in muscle,blackleg
goat,fatigue,chills,swelling in extremities,anthrax
sheep,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,swelling in abdomen,chills,chest discomfort,anthrax
cow,depression,loss of appetite,difficulty walking,blackleg
cow,loss of appetite,swelling in muscle,crackling sound,blackleg
goat,blisters on gums,difficulty walking,loss of appetite,foot and mouth
goat,chills,shortness of breath,swelling in neck,anthrax
buffalo,lameness,sores on gums,loss of appetite,foot and mouth
goat,fatigue,shortness of breath,chest discomfort,anthrax
sheep,swelling in neck,sweats,chest discomfort,anthrax
goat,painless lumps,depression,loss of appetite,pneumonia
cow,loss of appetite,painless lumps,depression,pneumonia
goat,depression,painless lumps,loss of appetite,lumpy virus
cow,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
goat,difficulty walking,sores on mouth,loss of appetite,foot and mouth
goat,loss of appetite,sores on tongue,difficulty walking,foot and mouth
sheep,blisters on tongue,lameness,loss of appetite,foot and mouth
buffalo,difficulty walking,swelling in limb,loss of appetite,blackleg
buffalo,swelling in extremities,chills,shortness of breath,anthrax
sheep,swelling in limb,crackling sound,difficulty walking,blackleg
buffalo,painless lumps,depression,loss of appetite,lumpy virus
cow,depression,loss of appetite,lameness,blackleg
cow,sores on mouth,difficulty walking,loss of appetite,foot and mouth
goat,sores on tongue,difficulty walking,loss of appetite,foot and mouth
goat,depression,painless lumps,loss of appetite,pneumonia
sheep,blisters on gums,lameness,loss of appetite,foot and mouth
buffalo,painless lumps,loss of appetite,depression,pneumonia
goat,chills,swelling in abdomen,sweats,anthrax
cow,loss of appetite,depression,swelling in muscle,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
buffalo,chills,chest discomfort,sweats,anthrax
goat,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,loss of appetite,sores on gums,lameness,foot and mouth
goat,chills,chest discomfort,shortness of breath,anthrax
goat,difficulty walking,sores on tongue,loss of appetite,foot and mouth
goat,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,loss of appetite,sores on hooves,difficulty walking,foot and mouth
goat,loss of appetite,depression,painless lumps,lumpy virus
cow,sores on hooves,loss of appetite,difficulty walking,foot and mouth
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,painless lumps,depression,loss of appetite,pneumonia
goat,swelling in muscle,difficulty walking,loss of appetite,blackleg
goat,crackling sound,lameness,loss of appetite,blackleg
buffalo,painless lumps,loss of appetite,depression,lumpy virus
cow,chills,sweats,chest discomfort,anthrax
buffalo,shortness of breath,fatigue,swelling in extremities,anthrax
sheep,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,lameness,blisters on tongue,foot and mouth
sheep,fatigue,chest discomfort,chills,anthrax
goat,lameness,loss of appetite,depression,blackleg
cow,painless lumps,depression,loss of appetite,pneumonia
goat,fatigue,chest discomfort,sweats,anthrax
sheep,depression,loss of appetite,difficulty walking,blackleg
goat,loss of appetite,painless lumps,depression,lumpy virus
buffalo,painless lumps,loss of appetite,depression,lumpy virus
goat,loss of appetite,painless lumps,depression,lumpy virus
cow,swelling in extremities,shortness of breath,sweats,anthrax
cow,painless lumps,depression,loss of appetite,pneumonia
cow,chills,fatigue,sweats,anthrax
buffalo,shortness of breath,chest discomfort,sweats,anthrax
cow,depression,painless lumps,loss of appetite,pneumonia
goat,depression,painless lumps,loss of appetite,pneumonia
buffalo,chills,fatigue,chest discomfort,anthrax
cow,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
cow,difficulty walking,crackling sound,depression,blackleg
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,loss of appetite,painless lumps,depression,lumpy virus
cow,sweats,swelling in extremities,chest discomfort,anthrax
cow,depression,swelling in muscle,crackling sound,blackleg
goat,depression,loss of appetite,painless lumps,lumpy virus
buffalo,painless lumps,loss of appetite,depression,lumpy virus
sheep,fatigue,sweats,chest discomfort,anthrax
buffalo,sores on mouth,difficulty walking,loss of appetite,foot and mouth
cow,shortness of breath,chills,chest discomfort,anthrax
buffalo,swelling in muscle,lameness,loss of appetite,blackleg
cow,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,swelling in muscle,loss of appetite,depression,blackleg
buffalo,painless lumps,depression,loss of appetite,pneumonia
goat,difficulty walking,sores on mouth,loss of appetite,foot and mouth
buffalo,depression,loss of appetite,painless lumps,lumpy virus
buffalo,lameness,loss of appetite,blisters on gums,foot and mouth
buffalo,swelling in extremities,chills,shortness of breath,anthrax
sheep,painless lumps,depression,loss of appetite,lumpy virus
sheep,depression,painless lumps,loss of appetite,pneumonia
cow,sores on gums,difficulty walking,loss of appetite,foot and mouth
goat,swelling in extremities,chills,sweats,anthrax
goat,depression,lameness,crackling sound,blackleg
sheep,swelling in muscle,lameness,crackling sound,blackleg
buffalo,sweats,swelling in abdomen,chest discomfort,anthrax
sheep,loss of appetite,painless lumps,depression,lumpy virus
sheep,shortness of breath,sweats,fatigue,anthrax
cow,blisters on hooves,lameness,loss of appetite,foot and mouth
cow,swelling in muscle,depression,loss of appetite,blackleg
goat,sweats,swelling in abdomen,chest discomfort,anthrax
goat,difficulty walking,depression,swelling in muscle,blackleg
buffalo,depression,swelling in limb,loss of appetite,blackleg
goat,loss of appetite,sores on tongue,lameness,foot and mouth
goat,chest discomfort,fatigue,chills,anthrax
goat,swelling in abdomen,sweats,chills,anthrax
goat,loss of appetite,depression,painless lumps,lumpy virus
cow,sores on mouth,loss of appetite,lameness,foot and mouth
sheep,loss of appetite,depression,painless lumps,pneumonia
buffalo,depression,loss of appetite,painless lumps,pneumonia
cow,lameness,swelling in limb,loss of appetite,blackleg
buffalo,swelling in abdomen,sweats,fatigue,anthrax
goat,swelling in muscle,loss of appetite,crackling sound,blackleg
sheep,sweats,chills,shortness of breath,anthrax
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,lameness,sores on tongue,loss of appetite,foot and mouth
goat,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,loss of appetite,painless lumps,depression,pneumonia
buffalo,chills,sweats,fatigue,anthrax
buffalo,shortness of breath,swelling in abdomen,fatigue,anthrax
goat,sores on mouth,lameness,loss of appetite,foot and mouth
sheep,depression,loss of appetite,difficulty walking,blackleg
buffalo,depression,painless lumps,loss of appetite,pneumonia
buffalo,lameness,swelling in limb,loss of appetite,blackleg
sheep,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
sheep,crackling sound,loss of appetite,lameness,blackleg
buffalo,loss of appetite,painless lumps,depression,lumpy virus
buffalo,chest discomfort,sweats,chills,anthrax
cow,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
cow,difficulty walking,loss of appetite,sores on mouth,foot and mouth
cow,loss of appetite,depression,painless lumps,lumpy virus
goat,loss of appetite,blisters on mouth,lameness,foot and mouth
buffalo,depression,loss of appetite,painless lumps,lumpy virus
sheep,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
buffalo,depression,painless lumps,loss of appetite,pneumonia
cow,sweats,chest discomfort,fatigue,anthrax
cow,loss of appetite,swelling in muscle,crackling sound,blackleg
goat,chest discomfort,sweats,fatigue,anthrax
buffalo,sores on hooves,loss of appetite,lameness,foot and mouth
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,chest discomfort,swelling in abdomen,shortness of breath,anthrax
buffalo,lameness,loss of appetite,blisters on tongue,foot and mouth
buffalo,painless lumps,loss of appetite,depression,lumpy virus
buffalo,chills,chest discomfort,sweats,anthrax
buffalo,loss of appetite,depression,swelling in limb,blackleg
sheep,shortness of breath,swelling in neck,chills,anthrax
sheep,loss of appetite,difficulty walking,depression,blackleg
buffalo,depression,painless lumps,loss of appetite,pneumonia
goat,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,depression,loss of appetite,swelling in limb,blackleg
cow,fatigue,shortness of breath,chills,anthrax
buffalo,swelling in neck,fatigue,sweats,anthrax
sheep,depression,painless lumps,loss of appetite,lumpy virus
buffalo,swelling in abdomen,fatigue,shortness of breath,anthrax
goat,difficulty walking,loss of appetite,blisters on mouth,foot and mouth
goat,sores on tongue,loss of appetite,lameness,foot and mouth
sheep,difficulty walking,depression,crackling sound,blackleg
goat,lameness,crackling sound,depression,blackleg
buffalo,depression,swelling in muscle,loss of appetite,blackleg
cow,depression,difficulty walking,loss of appetite,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,difficulty walking,sores on gums,foot and mouth
cow,chills,shortness of breath,fatigue,anthrax
sheep,depression,loss of appetite,painless lumps,lumpy virus
cow,shortness of breath,swelling in neck,sweats,anthrax
cow,loss of appetite,swelling in muscle,crackling sound,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
sheep,blisters on hooves,lameness,loss of appetite,foot and mouth
cow,difficulty walking,loss of appetite,crackling sound,blackleg
cow,loss of appetite,difficulty walking,depression,blackleg
sheep,fatigue,chest discomfort,chills,anthrax
sheep,difficulty walking,crackling sound,loss of appetite,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
goat,chills,fatigue,chest discomfort,anthrax
buffalo,sweats,chest discomfort,swelling in neck,anthrax
